Date,Open*,High,Low,Close**,Volume,Market Cap
"Jul 01, 2022",$0.4593,$0.4703,$0.4444,$0.4481,"$796,619,668","$15,124,139,829"
"Jun 30, 2022",$0.4656,$0.4667,$0.4362,$0.4588,"$903,962,268","$15,481,130,857"
"Jun 29, 2022",$0.4697,$0.4759,$0.4605,$0.4655,"$769,352,065","$15,712,129,431"
"Jun 28, 2022",$0.4856,$0.4965,$0.4682,$0.4697,"$724,759,074","$15,937,844,504"
"Jun 27, 2022",$0.4896,$0.5076,$0.4786,$0.4858,"$709,992,597","$16,390,096,573"
"Jun 26, 2022",$0.4989,$0.524,$0.4894,$0.4897,"$842,528,877","$16,527,043,913"
"Jun 25, 2022",$0.4992,$0.5069,$0.4795,$0.4989,"$649,820,170","$16,833,937,441"
"Jun 24, 2022",$0.4802,$0.5088,$0.477,$0.4992,"$945,924,412","$16,940,683,943"
"Jun 23, 2022",$0.4587,$0.4822,$0.458,$0.4803,"$711,554,788","$16,298,242,542"
"Jun 22, 2022",$0.4795,$0.481,$0.4579,$0.4586,"$818,977,392","$15,561,076,680"
"Jun 21, 2022",$0.4923,$0.5097,$0.4773,$0.4792,"$1,018,828,248","$16,174,353,905"
"Jun 20, 2022",$0.4844,$0.508,$0.4629,$0.4923,"$1,096,263,588","$16,608,404,988"
"Jun 19, 2022",$0.456,$0.4872,$0.4372,$0.4844,"$1,050,008,285","$16,341,966,396"
"Jun 18, 2022",$0.4874,$0.4947,$0.4234,$0.4562,"$1,214,101,657","$15,391,124,998"
"Jun 17, 2022",$0.4752,$0.5027,$0.4735,$0.4874,"$872,710,309","$16,450,717,357"
"Jun 16, 2022",$0.5335,$0.544,$0.469,$0.475,"$1,226,235,066","$16,026,795,414"
"Jun 15, 2022",$0.4842,$0.5368,$0.4501,$0.5333,"$2,335,125,416","$17,992,876,269"
"Jun 14, 2022",$0.4633,$0.5174,$0.4385,$0.4844,"$2,241,209,963","$16,349,268,635"
"Jun 13, 2022",$0.4961,$0.4965,$0.4392,$0.4631,"$2,551,895,485","$15,631,922,421"
"Jun 12, 2022",$0.553,$0.5599,$0.4969,$0.4969,"$1,474,640,183","$16,770,325,342"
"Jun 11, 2022",$0.5743,$0.6137,$0.5465,$0.5528,"$1,232,257,018","$18,657,652,296"
"Jun 10, 2022",$0.6329,$0.6351,$0.5739,$0.5742,"$1,170,021,356","$19,381,277,867"
"Jun 09, 2022",$0.6416,$0.6552,$0.6277,$0.6329,"$1,166,081,755","$21,354,114,841"
"Jun 08, 2022",$0.6155,$0.6661,$0.611,$0.6416,"$1,636,846,100","$21,772,549,803"
"Jun 07, 2022",$0.6093,$0.642,$0.5748,$0.6154,"$1,450,579,665","$20,772,850,135"
"Jun 06, 2022",$0.5672,$0.6435,$0.5666,$0.6093,"$1,417,826,128","$20,558,149,019"
"Jun 05, 2022",$0.5661,$0.5796,$0.5564,$0.5671,"$478,128,224","$19,133,051,326"
"Jun 04, 2022",$0.56,$0.5706,$0.5481,$0.5661,"$559,861,766","$19,106,277,156"
"Jun 03, 2022",$0.5878,$0.6033,$0.5415,$0.5597,"$910,186,327","$18,991,447,265"
"Jun 02, 2022",$0.5526,$0.5958,$0.5504,$0.5878,"$1,257,661,647","$19,839,578,551"
"Jun 01, 2022",$0.6254,$0.63,$0.5408,$0.5527,"$1,404,107,650","$18,649,236,556"
"May 31, 2022",$0.57,$0.6823,$0.5696,$0.6253,"$3,269,050,143","$21,095,465,849"
"May 30, 2022",$0.4811,$0.575,$0.4781,$0.5701,"$1,185,015,742","$19,233,725,201"
"May 29, 2022",$0.4647,$0.4818,$0.4574,$0.4811,"$444,269,488","$16,271,803,266"
"May 28, 2022",$0.4582,$0.4674,$0.4497,$0.4648,"$448,858,644","$15,718,441,823"
"May 27, 2022",$0.4806,$0.4829,$0.4474,$0.4555,"$922,413,717","$15,374,540,946"
"May 26, 2022",$0.514,$0.5201,$0.4664,$0.4809,"$909,554,798","$16,224,514,598"
"May 25, 2022",$0.5212,$0.5315,$0.5083,$0.5139,"$589,015,500","$17,379,444,292"
"May 24, 2022",$0.5127,$0.5243,$0.496,$0.5212,"$678,125,877","$17,627,919,620"
"May 23, 2022",$0.5425,$0.5578,$0.5094,$0.5126,"$753,004,177","$17,336,429,150"
"May 22, 2022",$0.5283,$0.547,$0.5234,$0.5426,"$489,742,264","$18,307,396,578"
"May 21, 2022",$0.5179,$0.5364,$0.5114,$0.5283,"$428,041,383","$17,831,941,058"
"May 20, 2022",$0.5334,$0.5434,$0.5031,$0.5179,"$722,609,837","$17,515,756,704"
"May 19, 2022",$0.5055,$0.5442,$0.4956,$0.5333,"$939,230,823","$18,037,043,684"
"May 18, 2022",$0.5781,$0.5845,$0.5056,$0.5056,"$933,793,601","$17,065,797,555"
"May 17, 2022",$0.5567,$0.5979,$0.5544,$0.5781,"$935,138,863","$19,503,757,289"
"May 16, 2022",$0.5976,$0.6085,$0.5478,$0.5567,"$1,291,715,346","$18,828,281,214"
"May 15, 2022",$0.5394,$0.5979,$0.5165,$0.5975,"$1,090,431,332","$20,167,153,400"
"May 14, 2022",$0.5289,$0.5542,$0.4914,$0.5394,"$1,178,703,676","$18,197,419,582"
"May 13, 2022",$0.4734,$0.6011,$0.47,$0.5289,"$1,946,134,960","$17,850,954,700"
"May 12, 2022",$0.513,$0.5455,$0.4065,$0.4737,"$2,798,263,564","$15,983,742,074"
"May 11, 2022",$0.6288,$0.6576,$0.4846,$0.5128,"$2,692,548,110","$17,301,359,976"
"May 10, 2022",$0.61,$0.6985,$0.5907,$0.629,"$2,372,592,084","$21,229,119,364"
"May 09, 2022",$0.7395,$0.7532,$0.6101,$0.6101,"$2,306,123,277","$20,592,042,144"
"May 08, 2022",$0.7621,$0.7639,$0.7293,$0.7396,"$1,085,127,147","$25,012,203,840"
"May 07, 2022",$0.7834,$0.7851,$0.7507,$0.7619,"$801,558,914","$25,767,047,428"
"May 06, 2022",$0.7911,$0.7983,$0.7657,$0.7834,"$1,312,283,636","$26,493,407,296"
"May 05, 2022",$0.8971,$0.9041,$0.7781,$0.7912,"$1,802,128,590","$26,703,424,886"
"May 04, 2022",$0.7711,$0.8977,$0.7696,$0.8969,"$1,516,023,155","$30,334,822,293"
"May 03, 2022",$0.7814,$0.7986,$0.7621,$0.7711,"$649,650,331","$26,028,116,860"
"May 02, 2022",$0.7903,$0.7958,$0.7662,$0.7815,"$805,325,174","$26,431,509,847"
"May 01, 2022",$0.7567,$0.7994,$0.7497,$0.7903,"$928,448,231","$26,676,154,077"
"Apr 30, 2022",$0.8051,$0.817,$0.7424,$0.7567,"$868,001,173","$25,539,225,299"
"Apr 29, 2022",$0.8439,$0.8487,$0.7937,$0.805,"$874,797,260","$27,161,353,317"
"Apr 28, 2022",$0.8406,$0.8521,$0.8277,$0.844,"$836,357,358","$28,485,470,786"
"Apr 27, 2022",$0.8275,$0.8539,$0.8226,$0.8406,"$927,312,593","$28,360,842,945"
"Apr 26, 2022",$0.8986,$0.9011,$0.821,$0.8276,"$1,020,049,782","$27,923,948,978"
"Apr 25, 2022",$0.8864,$0.9017,$0.8302,$0.8987,"$1,139,869,029","$30,321,103,824"
"Apr 24, 2022",$0.8883,$0.8979,$0.8819,$0.8863,"$487,629,549","$29,916,574,843"
"Apr 23, 2022",$0.9072,$0.9106,$0.8847,$0.8885,"$447,997,661","$29,977,242,757"
