Date,Open*,High,Low,Close**,Volume,Market Cap
"Jul 22, 2022","$23,163.75","$23,671.93","$22,603.42","$22,714.98","$31,421,555,646","$433,866,028,177"
"Jul 21, 2022","$23,233.20","$23,388.32","$22,431.15","$23,164.63","$33,631,012,204","$442,435,421,339"
"Jul 20, 2022","$23,393.19","$24,196.82","$23,009.95","$23,231.73","$42,932,549,127","$443,696,738,856"
"Jul 19, 2022","$22,467.85","$23,666.96","$21,683.41","$23,389.43","$48,765,202,697","$446,690,803,766"
"Jul 18, 2022","$20,781.91","$22,633.03","$20,781.91","$22,485.69","$39,974,475,562","$429,412,153,274"
"Jul 17, 2022","$21,195.04","$21,600.64","$20,778.18","$20,779.34","$22,927,802,083","$396,808,327,005"
"Jul 16, 2022","$20,834.10","$21,514.40","$20,518.90","$21,190.32","$24,302,954,056","$404,639,672,831"
"Jul 15, 2022","$20,573.16","$21,138.24","$20,397.00","$20,836.33","$25,905,575,359","$397,861,215,081"
"Jul 14, 2022","$20,211.47","$20,789.89","$19,689.26","$20,569.92","$31,158,743,333","$392,755,738,689"
"Jul 13, 2022","$19,325.97","$20,223.05","$18,999.95","$20,212.07","$33,042,430,345","$385,908,229,968"
"Jul 12, 2022","$19,970.48","$20,043.45","$19,308.53","$19,323.91","$25,810,220,018","$368,936,762,201"
"Jul 11, 2022","$20,856.35","$20,856.35","$19,924.54","$19,970.56","$24,150,249,025","$381,264,246,558"
"Jul 10, 2022","$21,591.08","$21,591.08","$20,727.12","$20,860.45","$28,688,807,249","$398,237,577,323"
"Jul 09, 2022","$21,716.83","$21,877.14","$21,445.96","$21,592.21","$29,641,127,858","$412,185,216,768"
"Jul 08, 2022","$21,637.16","$22,314.94","$21,257.45","$21,731.12","$49,899,834,488","$414,819,851,681"
"Jul 07, 2022","$20,547.81","$21,771.82","$20,296.10","$21,637.59","$25,814,972,520","$413,013,947,459"
"Jul 06, 2022","$20,194.62","$20,595.53","$19,823.51","$20,548.25","$24,598,943,708","$392,200,896,305"
"Jul 05, 2022","$20,225.35","$20,635.47","$19,341.23","$20,190.11","$26,715,546,990","$385,349,780,370"
"Jul 04, 2022","$19,297.31","$20,258.75","$19,063.07","$20,231.26","$21,594,638,208","$386,119,553,712"
"Jul 03, 2022","$19,242.09","$19,558.27","$18,966.95","$19,297.08","$16,390,821,947","$368,272,636,368"
"Jul 02, 2022","$19,274.84","$19,371.75","$19,027.08","$19,242.26","$18,100,418,740","$367,208,487,557"
"Jul 01, 2022","$19,820.47","$20,632.67","$19,073.71","$19,269.37","$30,767,551,159","$367,709,366,219"
"Jun 30, 2022","$20,108.31","$20,141.16","$18,729.66","$19,784.73","$26,267,239,923","$377,526,215,552"
"Jun 29, 2022","$20,281.17","$20,364.16","$19,937.79","$20,104.02","$23,552,740,328","$383,598,071,095"
"Jun 28, 2022","$20,731.54","$21,164.42","$20,228.81","$20,280.64","$21,381,535,161","$386,949,194,398"
"Jun 27, 2022","$21,028.24","$21,478.09","$20,620.20","$20,735.48","$20,965,695,707","$395,606,854,741"
"Jun 26, 2022","$21,496.49","$21,783.72","$21,016.27","$21,027.30","$18,027,170,497","$401,157,940,864"
"Jun 25, 2022","$21,233.61","$21,520.91","$20,964.59","$21,502.34","$18,372,538,715","$410,202,265,385"
"Jun 24, 2022","$21,084.65","$21,472.92","$20,777.51","$21,231.66","$24,957,784,918","$405,018,505,024"
"Jun 23, 2022","$19,986.61","$21,135.76","$19,950.12","$21,085.88","$26,188,097,173","$402,219,959,761"
"Jun 22, 2022","$20,719.41","$20,835.75","$19,848.08","$19,987.03","$28,574,793,478","$381,240,087,224"
"Jun 21, 2022","$20,594.29","$21,620.63","$20,415.06","$20,710.60","$28,970,212,744","$395,025,644,880"
"Jun 20, 2022","$20,553.37","$20,913.32","$19,689.17","$20,599.54","$30,818,458,597","$392,888,024,959"
"Jun 19, 2022","$19,010.90","$20,683.82","$18,067.15","$20,553.27","$35,329,942,625","$391,988,917,194"
"Jun 18, 2022","$20,473.42","$20,736.04","$17,708.62","$19,017.64","$42,009,436,760","$362,685,324,229"
"Jun 17, 2022","$20,385.72","$21,243.31","$20,326.52","$20,471.48","$27,132,421,514","$390,391,528,176"
"Jun 16, 2022","$22,576.31","$22,868.92","$20,265.23","$20,381.65","$31,183,975,654","$388,664,840,557"
"Jun 15, 2022","$22,196.73","$22,642.67","$20,178.38","$22,572.84","$54,912,007,015","$430,432,160,006"
"Jun 14, 2022","$22,487.99","$23,018.95","$20,950.82","$22,206.79","$50,913,575,242","$423,429,131,864"
"Jun 13, 2022","$26,737.58","$26,795.59","$22,141.26","$22,487.39","$68,204,556,440","$428,759,852,105"
"Jun 12, 2022","$28,373.51","$28,502.69","$26,762.65","$26,762.65","$34,163,220,274","$510,252,464,821"
"Jun 11, 2022","$29,084.67","$29,401.92","$28,236.21","$28,360.81","$27,246,574,439","$540,698,499,860"
"Jun 10, 2022","$30,110.33","$30,245.81","$28,978.15","$29,083.80","$29,867,476,527","$554,455,834,486"
"Jun 09, 2022","$30,215.28","$30,609.31","$30,020.26","$30,112.00","$21,692,004,719","$574,029,141,739"
"Jun 08, 2022","$31,151.48","$31,253.69","$29,944.40","$30,214.36","$30,242,059,107","$575,953,219,488"
"Jun 07, 2022","$31,371.74","$31,489.68","$29,311.68","$31,155.48","$40,770,974,039","$593,857,882,017"
"Jun 06, 2022","$29,910.28","$31,693.29","$29,894.19","$31,370.67","$31,947,336,829","$597,927,548,347"
"Jun 05, 2022","$29,835.12","$30,117.74","$29,574.45","$29,906.66","$17,264,085,441","$569,996,838,237"
"Jun 04, 2022","$29,706.14","$29,930.56","$29,500.01","$29,832.91","$16,588,370,958","$568,564,420,350"
"Jun 03, 2022","$30,467.81","$30,633.03","$29,375.69","$29,704.39","$26,175,547,452","$566,088,081,691"
"Jun 02, 2022","$29,794.89","$30,604.73","$29,652.70","$30,467.49","$29,083,562,061","$580,603,466,872"
"Jun 01, 2022","$31,792.55","$31,957.28","$29,501.59","$29,799.08","$41,135,817,341","$567,842,680,886"
"May 31, 2022","$31,723.87","$32,249.86","$31,286.15","$31,792.31","$33,538,210,634","$605,797,887,876"
"May 30, 2022","$29,443.37","$31,949.63","$29,303.57","$31,726.39","$39,277,993,274","$604,513,442,526"
"May 29, 2022","$29,019.87","$29,498.01","$28,841.11","$29,445.96","$18,093,886,409","$561,034,743,433"
"May 28, 2022","$28,842.10","$29,135.92","$28,554.57","$29,023.49","$19,252,320,708","$552,958,193,308"
"May 27, 2022","$29,251.14","$29,346.94","$28,326.61","$28,627.57","$36,582,005,748","$545,388,222,664"
"May 26, 2022","$29,564.78","$29,834.16","$28,261.91","$29,267.22","$36,774,325,352","$557,547,946,793"
"May 25, 2022","$29,653.14","$30,157.78","$29,384.95","$29,562.36","$27,525,063,551","$563,145,244,692"
"May 24, 2022","$29,101.13","$29,774.35","$28,786.59","$29,655.59","$26,616,506,245","$564,895,173,841"
"May 23, 2022","$30,309.40","$30,590.59","$28,975.56","$29,098.91","$31,483,454,557","$554,268,758,109"
"May 22, 2022","$29,432.47","$30,425.86","$29,275.18","$30,323.72","$21,631,532,270","$577,568,895,836"
"May 21, 2022","$29,199.86","$29,588.87","$29,027.39","$29,432.23","$17,274,840,442","$560,565,793,082"
"May 20, 2022","$30,311.12","$30,664.98","$28,793.61","$29,200.74","$30,749,382,605","$556,131,920,269"
"May 19, 2022","$28,720.36","$30,430.75","$28,708.96","$30,314.33","$33,773,447,707","$577,316,228,899"
"May 18, 2022","$30,424.48","$30,618.72","$28,720.27","$28,720.27","$31,285,268,319","$546,936,441,380"
"May 17, 2022","$29,862.41","$30,694.49","$29,570.30","$30,425.86","$29,101,473,475","$579,391,415,566"
"May 16, 2022","$31,304.37","$31,305.34","$29,251.89","$29,862.92","$32,613,897,286","$568,643,328,349"
